rcid,country_code,disaster_before_vote,number_disasters,total_affected
2095,YD,0,0,0
2095,KW,0,0,0
2095,BH,0,0,0
2095,QA,0,0,0
2095,AE,0,0,0
2095,OM,0,0,0
2095,AF,1,1,30000
2095,MN,0,0,0
2095,JP,1,1,20
2095,IN,1,7,33053587
2095,BT,0,0,0
2095,PK,0,0,0
2095,BD,1,1,10000655
2095,MM,1,1,10000
2095,NP,0,0,0
2095,TH,0,0,0
2095,LA,0,0,0
2095,VN,0,0,0
2095,MY,0,0,0
2095,SG,0,0,0
2095,PH,1,2,1028082
2095,ID,0,0,0
2095,AU,1,1,40
2095,PG,0,0,0
2095,NZ,1,2,2900
2095,FJ,0,0,0
2095,WS,0,0,0
2335,CA,0,0,0
2335,CU,0,0,0
2335,DO,0,0,0
2335,JM,0,0,0
2335,TT,0,0,0
2335,BB,0,0,0
2335,MX,1,1,204
2335,SV,1,2,68500
2335,NI,0,0,0
2335,CR,0,0,0
2335,CO,1,1,90
2335,VE,0,0,0
2335,GY,0,0,0
2335,SR,0,0,0
2335,EC,0,0,0
2335,PE,1,2,55332
2335,BR,1,1,2367
2335,BO,1,1,30000
2335,PY,1,1,85000
2335,CL,1,1,8000
2335,AR,0,0,0
2335,UY,0,0,0
2335,GB,0,0,0
2335,IE,0,0,0
2335,NL,0,0,0
2335,BE,0,0,0
2335,LU,0,0,0
2335,FR,1,3,20
2335,ES,0,0,0
2335,PT,1,1,930
2335,0,0,0,0
2335,DD,0,0,0
2335,PL,1,1,16824
2335,HU,0,0,0
2335,CS,0,0,0
2335,IT,0,0,0
2335,MT,0,0,0
2335,YU,0,0,0
2335,GR,0,0,0
2335,CY,0,0,0
2335,BG,0,0,0
2335,RO,0,0,0
2335,RU,0,0,0
2335,UA,0,0,0
2335,BY,0,0,0
2335,FI,0,0,0
2335,SE,0,0,0
2335,NO,0,0,0
2335,DK,0,0,0
2335,IS,0,0,0
2335,CV,0,0,0
2335,ST,0,0,0
2335,GW,0,0,0
2335,GQ,0,0,0
2335,GM,0,0,0
2335,ML,0,0,0
2335,SN,0,0,0
2335,BJ,1,1,580000
2335,MR,0,0,0
2335,NE,0,0,0
2335,CI,0,0,0
2335,GN,0,0,0
2335,BF,0,0,0
2335,LR,0,0,0
2335,GH,0,0,0
2335,TG,0,0,0
2335,CM,0,0,0
2335,NG,0,0,0
2335,GA,0,0,0
2335,CF,0,0,0
2335,TD,1,1,1503000
2335,CG,0,0,0
2335,CD,0,0,0
2335,UG,0,0,0
2335,KE,0,0,0
2335,TZ,1,1,40000
2335,BI,0,0,0
2335,RW,0,0,0
2335,SO,0,0,0
2335,DJ,0,0,0
2335,ET,0,0,0
2335,AO,0,0,0
2335,MZ,0,0,0
2335,MW,0,0,0
2335,SZ,0,0,0
2335,MG,0,0,0
2335,KM,0,0,0
2335,SC,0,0,0
2335,MA,0,0,0
2335,DZ,0,0,0
2335,TN,0,0,0
2335,LY,0,0,0
2335,SD,0,0,0
2335,IR,0,0,0
2335,TR,1,1,10
2335,IQ,0,0,0
2335,EG,0,0,0
2335,LB,0,0,0
2335,SA,0,0,0
2335,0,0,0,0
2335,KW,0,0,0
2335,BH,0,0,0
2335,QA,0,0,0
2335,AE,0,0,0
2335,OM,0,0,0
2335,AF,0,0,0
2335,CN,1,4,966590
2335,MN,0,0,0
2335,JP,1,1,27692
2335,IN,1,3,133500932
2335,PK,1,1,10068
2335,BD,1,1,308000
2335,LK,1,3,2120027
2335,MV,0,0,0
2335,NP,1,1,92
2335,TH,0,0,0
2335,KH,0,0,0
2335,LA,0,0,0
2335,VN,0,0,0
2335,MY,0,0,0
2335,SG,0,0,0
2335,PH,1,6,208865
2335,ID,1,4,249789
2335,AU,0,0,0
2335,PG,0,0,0
2335,NZ,0,0,0
2335,SB,0,0,0
2335,WS,0,0,0
2433,CA,0,0,0
2433,BS,0,0,0
2433,CU,0,0,0
2433,DO,0,0,0
2433,JM,0,0,0
2433,TT,0,0,0
2433,BB,0,0,0
2433,DM,0,0,0
2433,GD,0,0,0
2433,MX,1,2,5225
2433,GT,1,1,20876
2433,HN,0,0,0
2433,SV,1,2,68500
2433,NI,0,0,0
2433,CR,0,0,0
2433,PA,0,0,0
2433,CO,1,1,90
2433,VE,0,0,0
2433,GY,0,0,0
2433,SR,0,0,0
2433,EC,1,1,700307
2433,PE,1,2,55332
2433,BR,0,0,0
2433,BO,1,1,30000
2433,PY,1,1,85000
2433,CL,1,1,8000
2433,AR,0,0,0
2433,UY,0,0,0
2433,GB,0,0,0
2433,IE,0,0,0
2433,NL,0,0,0
2433,BE,0,0,0
2433,LU,0,0,0
2433,FR,1,3,20
2433,ES,1,2,226677
2433,PT,1,1,930
2433,0,0,0,0
2433,DD,0,0,0
2433,PL,1,1,16824
2433,HU,0,0,0
2433,CS,0,0,0
2433,IT,0,0,0
2433,MT,0,0,0
2433,AL,0,0,0
2433,YU,0,0,0
2433,GR,0,0,0
2433,CY,0,0,0
2433,BG,0,0,0
2433,RO,0,0,0
2433,RU,0,0,0
2433,UA,0,0,0
2433,BY,0,0,0
2433,FI,0,0,0
2433,SE,0,0,0
2433,NO,0,0,0
2433,DK,0,0,0
2433,IS,0,0,0
2433,CV,0,0,0
2433,ST,0,0,0
2433,GW,0,0,0
2433,GM,0,0,0
2433,ML,0,0,0
2433,SN,0,0,0
2433,BJ,1,1,580000
2433,MR,0,0,0
2433,NE,0,0,0
2433,CI,0,0,0
2433,GN,0,0,0
2433,BF,0,0,0
2433,LR,0,0,0
2433,SL,0,0,0
2433,GH,0,0,0
2433,TG,0,0,0
2433,CM,0,0,0
2433,NG,0,0,0
